Current Mode,Previous Mode,Error State,Last operation Result,Current operation due time,WifiConnected,Bluetooth Connected,Internet Availibility,Current Display Language,Curret Speech Language
Auto Mode,Auto Mode,CH,Success,600.0,YES,YES,YES,en-US,en-US
Auto Mode,Auto Mode,CH,Success,600.0,YES,YES,YES,en-US,ko-KR
Auto Mode,Auto Mode,CH,Success,600.0,YES,YES,YES,en-US,fr-FR
Auto Mode,Auto Mode,CH,Success,600.0,YES,YES,YES,ko-KR,en-US
Auto Mode,Auto Mode,CH,Success,600.0,YES,YES,YES,ko-KR,ko-KR
Auto Mode,Auto Mode,CH,Success,600.0,YES,YES,YES,ko-KR,fr-FR
Auto Mode,Auto Mode,CH,Success,600.0,YES,YES,YES,fr-FR,en-US
Auto Mode,Auto Mode,CH,Success,600.0,YES,YES,YES,fr-FR,ko-KR
Auto Mode,Auto Mode,CH,Success,600.0,YES,YES,YES,fr-FR,fr-FR
Auto Mode,Auto Mode,CH,Success,600.0,YES,YES,NO,en-US,en-US
Auto Mode,Auto Mode,CH,Success,600.0,YES,YES,NO,en-US,ko-KR
Auto Mode,Auto Mode,CH,Success,600.0,YES,YES,NO,en-US,fr-FR
Auto Mode,Auto Mode,CH,Success,600.0,YES,YES,NO,ko-KR,en-US
Auto Mode,Auto Mode,CH,Success,600.0,YES,YES,NO,ko-KR,ko-KR
Auto Mode,Auto Mode,CH,Success,600.0,YES,YES,NO,ko-KR,fr-FR
Auto Mode,Auto Mode,CH,Success,600.0,YES,YES,NO,fr-FR,en-US
Auto Mode,Auto Mode,CH,Success,600.0,YES,YES,NO,fr-FR,ko-KR
Auto Mode,Auto Mode,CH,Success,600.0,YES,YES,NO,fr-FR,fr-FR
Auto Mode,Auto Mode,CH,Success,600.0,YES,NO,YES,en-US,en-US
Auto Mode,Auto Mode,CH,Success,600.0,YES,NO,YES,en-US,ko-KR
Auto Mode,Auto Mode,CH,Success,600.0,YES,NO,YES,en-US,fr-FR
Auto Mode,Auto Mode,CH,Success,600.0,YES,NO,YES,ko-KR,en-US
Auto Mode,Auto Mode,CH,Success,600.0,YES,NO,YES,ko-KR,ko-KR
Auto Mode,Auto Mode,CH,Success,600.0,YES,NO,YES,ko-KR,fr-FR
Auto Mode,Auto Mode,CH,Success,600.0,YES,NO,YES,fr-FR,en-US
Auto Mode,Auto Mode,CH,Success,600.0,YES,NO,YES,fr-FR,ko-KR
Auto Mode,Auto Mode,CH,Success,600.0,YES,NO,YES,fr-FR,fr-FR
Auto Mode,Auto Mode,CH,Success,600.0,YES,NO,NO,en-US,en-US
Auto Mode,Auto Mode,CH,Success,600.0,YES,NO,NO,en-US,ko-KR
Auto Mode,Auto Mode,CH,Success,600.0,YES,NO,NO,en-US,fr-FR
Auto Mode,Auto Mode,CH,Success,600.0,YES,NO,NO,ko-KR,en-US
Auto Mode,Auto Mode,CH,Success,600.0,YES,NO,NO,ko-KR,ko-KR
Auto Mode,Auto Mode,CH,Success,600.0,YES,NO,NO,ko-KR,fr-FR
Auto Mode,Auto Mode,CH,Success,600.0,YES,NO,NO,fr-FR,en-US
Auto Mode,Auto Mode,CH,Success,600.0,YES,NO,NO,fr-FR,ko-KR
Auto Mode,Auto Mode,CH,Success,600.0,YES,NO,NO,fr-FR,fr-FR
Auto Mode,Auto Mode,CH,Success,600.0,NO,YES,YES,en-US,en-US
Auto Mode,Auto Mode,CH,Success,600.0,NO,YES,YES,en-US,ko-KR
Auto Mode,Auto Mode,CH,Success,600.0,NO,YES,YES,en-US,fr-FR
Auto Mode,Auto Mode,CH,Success,600.0,NO,YES,YES,ko-KR,en-US
Auto Mode,Auto Mode,CH,Success,600.0,NO,YES,YES,ko-KR,ko-KR
Auto Mode,Auto Mode,CH,Success,600.0,NO,YES,YES,ko-KR,fr-FR
