Current Mode,Previous Mode,Error State,Last operation Result,WifiConnected,Bluetooth Connected,Internet Availibility,Current Display Language,Curret Speech Language
Idle,Idle,AP,Success,YES,YES,YES,en-US,en-US
Idle,Idle,AP,Success,YES,YES,YES,en-US,ko-KR
Idle,Idle,AP,Success,YES,YES,YES,en-US,fr-FR
Idle,Idle,AP,Success,YES,YES,YES,ko-KR,en-US
Idle,Idle,AP,Success,YES,YES,YES,ko-KR,ko-KR
Idle,Idle,AP,Success,YES,YES,YES,ko-KR,fr-FR
Idle,Idle,AP,Success,YES,YES,YES,fr-FR,en-US
Idle,Idle,AP,Success,YES,YES,YES,fr-FR,ko-KR
Idle,Idle,AP,Success,YES,YES,YES,fr-FR,fr-FR
Idle,Idle,AP,Success,YES,YES,NO,en-US,en-US
Idle,Idle,AP,Success,YES,YES,NO,en-US,ko-KR
Idle,Idle,AP,Success,YES,YES,NO,en-US,fr-FR
Idle,Idle,AP,Success,YES,YES,NO,ko-KR,en-US
Idle,Idle,AP,Success,YES,YES,NO,ko-KR,ko-KR
Idle,Idle,AP,Success,YES,YES,NO,ko-KR,fr-FR
Idle,Idle,AP,Success,YES,YES,NO,fr-FR,en-US
Idle,Idle,AP,Success,YES,YES,NO,fr-FR,ko-KR
Idle,Idle,AP,Success,YES,YES,NO,fr-FR,fr-FR
Idle,Idle,AP,Success,YES,NO,YES,en-US,en-US
Idle,Idle,AP,Success,YES,NO,YES,en-US,ko-KR
Idle,Idle,AP,Success,YES,NO,YES,en-US,fr-FR
Idle,Idle,AP,Success,YES,NO,YES,ko-KR,en-US
Idle,Idle,AP,Success,YES,NO,YES,ko-KR,ko-KR
Idle,Idle,AP,Success,YES,NO,YES,ko-KR,fr-FR
Idle,Idle,AP,Success,YES,NO,YES,fr-FR,en-US
Idle,Idle,AP,Success,YES,NO,YES,fr-FR,ko-KR
Idle,Idle,AP,Success,YES,NO,YES,fr-FR,fr-FR
Idle,Idle,AP,Success,YES,NO,NO,en-US,en-US
Idle,Idle,AP,Success,YES,NO,NO,en-US,ko-KR
Idle,Idle,AP,Success,YES,NO,NO,en-US,fr-FR
Idle,Idle,AP,Success,YES,NO,NO,ko-KR,en-US
Idle,Idle,AP,Success,YES,NO,NO,ko-KR,ko-KR
Idle,Idle,AP,Success,YES,NO,NO,ko-KR,fr-FR
Idle,Idle,AP,Success,YES,NO,NO,fr-FR,en-US
Idle,Idle,AP,Success,YES,NO,NO,fr-FR,ko-KR
Idle,Idle,AP,Success,YES,NO,NO,fr-FR,fr-FR
Idle,Idle,AP,Success,NO,YES,YES,en-US,en-US
Idle,Idle,AP,Success,NO,YES,YES,en-US,ko-KR
Idle,Idle,AP,Success,NO,YES,YES,en-US,fr-FR
Idle,Idle,AP,Success,NO,YES,YES,ko-KR,en-US
Idle,Idle,AP,Success,NO,YES,YES,ko-KR,ko-KR
Idle,Idle,AP,Success,NO,YES,YES,ko-KR,fr-FR
Idle,Idle,AP,Success,NO,YES,YES,fr-FR,en-US
Idle,Idle,AP,Success,NO,YES,YES,fr-FR,ko-KR
Idle,Idle,AP,Success,NO,YES,YES,fr-FR,fr-FR
Idle,Idle,AP,Success,NO,YES,NO,en-US,en-US
Idle,Idle,AP,Success,NO,YES,NO,en-US,ko-KR
Idle,Idle,AP,Success,NO,YES,NO,en-US,fr-FR
Idle,Idle,AP,Success,NO,YES,NO,ko-KR,en-US
Idle,Idle,AP,Success,NO,YES,NO,ko-KR,ko-KR
Idle,Idle,AP,Success,NO,YES,NO,ko-KR,fr-FR
Idle,Idle,AP,Success,NO,YES,NO,fr-FR,en-US
Idle,Idle,AP,Success,NO,YES,NO,fr-FR,ko-KR
Idle,Idle,AP,Success,NO,YES,NO,fr-FR,fr-FR
Idle,Idle,AP,Success,NO,NO,YES,en-US,en-US
Idle,Idle,AP,Success,NO,NO,YES,en-US,ko-KR
Idle,Idle,AP,Success,NO,NO,YES,en-US,fr-FR
Idle,Idle,AP,Success,NO,NO,YES,ko-KR,en-US
Idle,Idle,AP,Success,NO,NO,YES,ko-KR,ko-KR
Idle,Idle,AP,Success,NO,NO,YES,ko-KR,fr-FR
Idle,Idle,AP,Success,NO,NO,YES,fr-FR,en-US
Idle,Idle,AP,Success,NO,NO,YES,fr-FR,ko-KR
Idle,Idle,AP,Success,NO,NO,YES,fr-FR,fr-FR
Idle,Idle,AP,Success,NO,NO,NO,en-US,en-US
Idle,Idle,AP,Success,NO,NO,NO,en-US,ko-KR
Idle,Idle,AP,Success,NO,NO,NO,en-US,fr-FR
Idle,Idle,AP,Success,NO,NO,NO,ko-KR,en-US
Idle,Idle,AP,Success,NO,NO,NO,ko-KR,ko-KR
Idle,Idle,AP,Success,NO,NO,NO,ko-KR,fr-FR
Idle,Idle,AP,Success,NO,NO,NO,fr-FR,en-US
Idle,Idle,AP,Success,NO,NO,NO,fr-FR,ko-KR
Idle,Idle,AP,Success,NO,NO,NO,fr-FR,fr-FR
Idle,Idle,AP,Fail,YES,YES,YES,en-US,en-US
Idle,Idle,AP,Fail,YES,YES,YES,en-US,ko-KR
Idle,Idle,AP,Fail,YES,YES,YES,en-US,fr-FR
Idle,Idle,AP,Fail,YES,YES,YES,ko-KR,en-US
Idle,Idle,AP,Fail,YES,YES,YES,ko-KR,ko-KR
Idle,Idle,AP,Fail,YES,YES,YES,ko-KR,fr-FR
Idle,Idle,AP,Fail,YES,YES,YES,fr-FR,en-US
Idle,Idle,AP,Fail,YES,YES,YES,fr-FR,ko-KR
Idle,Idle,AP,Fail,YES,YES,YES,fr-FR,fr-FR
Idle,Idle,AP,Fail,YES,YES,NO,en-US,en-US
Idle,Idle,AP,Fail,YES,YES,NO,en-US,ko-KR
Idle,Idle,AP,Fail,YES,YES,NO,en-US,fr-FR
Idle,Idle,AP,Fail,YES,YES,NO,ko-KR,en-US
Idle,Idle,AP,Fail,YES,YES,NO,ko-KR,ko-KR
Idle,Idle,AP,Fail,YES,YES,NO,ko-KR,fr-FR
Idle,Idle,AP,Fail,YES,YES,NO,fr-FR,en-US
Idle,Idle,AP,Fail,YES,YES,NO,fr-FR,ko-KR
Idle,Idle,AP,Fail,YES,YES,NO,fr-FR,fr-FR
Idle,Idle,AP,Fail,YES,NO,YES,en-US,en-US
Idle,Idle,AP,Fail,YES,NO,YES,en-US,ko-KR
Idle,Idle,AP,Fail,YES,NO,YES,en-US,fr-FR
Idle,Idle,AP,Fail,YES,NO,YES,ko-KR,en-US
Idle,Idle,AP,Fail,YES,NO,YES,ko-KR,ko-KR
Idle,Idle,AP,Fail,YES,NO,YES,ko-KR,fr-FR
Idle,Idle,AP,Fail,YES,NO,YES,fr-FR,en-US
Idle,Idle,AP,Fail,YES,NO,YES,fr-FR,ko-KR
Idle,Idle,AP,Fail,YES,NO,YES,fr-FR,fr-FR
Idle,Idle,AP,Fail,YES,NO,NO,en-US,en-US
Idle,Idle,AP,Fail,YES,NO,NO,en-US,ko-KR
Idle,Idle,AP,Fail,YES,NO,NO,en-US,fr-FR
Idle,Idle,AP,Fail,YES,NO,NO,ko-KR,en-US
Idle,Idle,AP,Fail,YES,NO,NO,ko-KR,ko-KR
Idle,Idle,AP,Fail,YES,NO,NO,ko-KR,fr-FR
Idle,Idle,AP,Fail,YES,NO,NO,fr-FR,en-US
Idle,Idle,AP,Fail,YES,NO,NO,fr-FR,ko-KR
Idle,Idle,AP,Fail,YES,NO,NO,fr-FR,fr-FR
Idle,Idle,AP,Fail,NO,YES,YES,en-US,en-US
Idle,Idle,AP,Fail,NO,YES,YES,en-US,ko-KR
Idle,Idle,AP,Fail,NO,YES,YES,en-US,fr-FR
Idle,Idle,AP,Fail,NO,YES,YES,ko-KR,en-US
Idle,Idle,AP,Fail,NO,YES,YES,ko-KR,ko-KR
Idle,Idle,AP,Fail,NO,YES,YES,ko-KR,fr-FR
Idle,Idle,AP,Fail,NO,YES,YES,fr-FR,en-US
Idle,Idle,AP,Fail,NO,YES,YES,fr-FR,ko-KR
Idle,Idle,AP,Fail,NO,YES,YES,fr-FR,fr-FR
Idle,Idle,AP,Fail,NO,YES,NO,en-US,en-US
Idle,Idle,AP,Fail,NO,YES,NO,en-US,ko-KR
Idle,Idle,AP,Fail,NO,YES,NO,en-US,fr-FR
Idle,Idle,AP,Fail,NO,YES,NO,ko-KR,en-US
Idle,Idle,AP,Fail,NO,YES,NO,ko-KR,ko-KR
Idle,Idle,AP,Fail,NO,YES,NO,ko-KR,fr-FR
