Current Mode,WifiConnected,Bluetooth Connected,Internet Availibility,Current Display Language,Curret Speech Language
Idle,YES,YES,YES,en-US,en-US
Idle,YES,YES,YES,en-US,ko-KR
Idle,YES,YES,YES,en-US,fr-FR
Idle,YES,YES,YES,ko-KR,en-US
Idle,YES,YES,YES,ko-KR,ko-KR
Idle,YES,YES,YES,ko-KR,fr-FR
Idle,YES,YES,YES,fr-FR,en-US
Idle,YES,YES,YES,fr-FR,ko-KR
Idle,YES,YES,YES,fr-FR,fr-FR
Idle,YES,YES,NO,en-US,en-US
Idle,YES,YES,NO,en-US,ko-KR
Idle,YES,YES,NO,en-US,fr-FR
Idle,YES,YES,NO,ko-KR,en-US
Idle,YES,YES,NO,ko-KR,ko-KR
Idle,YES,YES,NO,ko-KR,fr-FR
Idle,YES,YES,NO,fr-FR,en-US
Idle,YES,YES,NO,fr-FR,ko-KR
Idle,YES,YES,NO,fr-FR,fr-FR
Idle,YES,NO,YES,en-US,en-US
Idle,YES,NO,YES,en-US,ko-KR
Idle,YES,NO,YES,en-US,fr-FR
Idle,YES,NO,YES,ko-KR,en-US
Idle,YES,NO,YES,ko-KR,ko-KR
Idle,YES,NO,YES,ko-KR,fr-FR
Idle,YES,NO,YES,fr-FR,en-US
Idle,YES,NO,YES,fr-FR,ko-KR
Idle,YES,NO,YES,fr-FR,fr-FR
Idle,YES,NO,NO,en-US,en-US
Idle,YES,NO,NO,en-US,ko-KR
Idle,YES,NO,NO,en-US,fr-FR
Idle,YES,NO,NO,ko-KR,en-US
Idle,YES,NO,NO,ko-KR,ko-KR
Idle,YES,NO,NO,ko-KR,fr-FR
Idle,YES,NO,NO,fr-FR,en-US
Idle,YES,NO,NO,fr-FR,ko-KR
Idle,YES,NO,NO,fr-FR,fr-FR
Idle,NO,YES,YES,en-US,en-US
Idle,NO,YES,YES,en-US,ko-KR
Idle,NO,YES,YES,en-US,fr-FR
Idle,NO,YES,YES,ko-KR,en-US
Idle,NO,YES,YES,ko-KR,ko-KR
Idle,NO,YES,YES,ko-KR,fr-FR
Idle,NO,YES,YES,fr-FR,en-US
Idle,NO,YES,YES,fr-FR,ko-KR
Idle,NO,YES,YES,fr-FR,fr-FR
Idle,NO,YES,NO,en-US,en-US
Idle,NO,YES,NO,en-US,ko-KR
Idle,NO,YES,NO,en-US,fr-FR
Idle,NO,YES,NO,ko-KR,en-US
Idle,NO,YES,NO,ko-KR,ko-KR
Idle,NO,YES,NO,ko-KR,fr-FR
Idle,NO,YES,NO,fr-FR,en-US
Idle,NO,YES,NO,fr-FR,ko-KR
Idle,NO,YES,NO,fr-FR,fr-FR
Idle,NO,NO,YES,en-US,en-US
Idle,NO,NO,YES,en-US,ko-KR
Idle,NO,NO,YES,en-US,fr-FR
Idle,NO,NO,YES,ko-KR,en-US
Idle,NO,NO,YES,ko-KR,ko-KR
Idle,NO,NO,YES,ko-KR,fr-FR
Idle,NO,NO,YES,fr-FR,en-US
Idle,NO,NO,YES,fr-FR,ko-KR
Idle,NO,NO,YES,fr-FR,fr-FR
Idle,NO,NO,NO,en-US,en-US
Idle,NO,NO,NO,en-US,ko-KR
Idle,NO,NO,NO,en-US,fr-FR
Idle,NO,NO,NO,ko-KR,en-US
Idle,NO,NO,NO,ko-KR,ko-KR
Idle,NO,NO,NO,ko-KR,fr-FR
Idle,NO,NO,NO,fr-FR,en-US
Idle,NO,NO,NO,fr-FR,ko-KR
Idle,NO,NO,NO,fr-FR,fr-FR
Music,YES,YES,YES,en-US,en-US
Music,YES,YES,YES,en-US,ko-KR
Music,YES,YES,YES,en-US,fr-FR
Music,YES,YES,YES,ko-KR,en-US
Music,YES,YES,YES,ko-KR,ko-KR
Music,YES,YES,YES,ko-KR,fr-FR
Music,YES,YES,YES,fr-FR,en-US
Music,YES,YES,YES,fr-FR,ko-KR
Music,YES,YES,YES,fr-FR,fr-FR
Music,YES,YES,NO,en-US,en-US
Music,YES,YES,NO,en-US,ko-KR
Music,YES,YES,NO,en-US,fr-FR
Music,YES,YES,NO,ko-KR,en-US
Music,YES,YES,NO,ko-KR,ko-KR
Music,YES,YES,NO,ko-KR,fr-FR
Music,YES,YES,NO,fr-FR,en-US
Music,YES,YES,NO,fr-FR,ko-KR
Music,YES,YES,NO,fr-FR,fr-FR
Music,YES,NO,YES,en-US,en-US
Music,YES,NO,YES,en-US,ko-KR
Music,YES,NO,YES,en-US,fr-FR
